Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-20,1,1001,22765,69,304,0,893,2022-04-20,2022-04-19,89934,992.9503858385037
2022-04-20,1,1002,53230,206,669,4,2190,2022-04-20,2022-04-19,246601,888.074257606417
2022-04-20,1,1003,48145,132,1447,0,2322,2022-04-20,2022-04-19,215846,1075.7669820149551
2022-04-20,1,1004,17791,79,255,3,556,2022-04-20,2022-04-19,79905,695.826293723797
2022-04-20,1,1051,29011,95,182,0,1660,2022-04-20,2022-04-19,133251,1245.769262519606
2022-04-20,1,1053,41596,149,493,0,1114,2022-04-20,2022-04-19,199152,559.371736161324
2022-04-20,1,1054,36936,131,748,0,1494,2022-04-20,2022-04-19,167147,893.823999234207
2022-04-20,1,1055,34018,114,911,2,2194,2022-04-20,2022-04-19,201487,1088.9039987691513
2022-04-20,1,1056,68178,463,1362,5,2155,2022-04-20,2022-04-19,317085,679.6284907832285
2022-04-20,1,1057,21346,51,816,0,1348,2022-04-20,2022-04-19,129353,1042.1095761211568
2022-04-20,1,1058,53993,96,1082,0,2149,2022-04-20,2022-04-19,274765,782.122905027933
2022-04-20,1,1059,41055,112,348,0,2200,2022-04-20,2022-04-19,202647,1085.6316649148519
2022-04-20,1,1060,60048,266,1089,4,1847,2022-04-20,2022-04-19,278007,664.3717604232987
2022-04-20,1,1061,20852,64,289,1,929,2022-04-20,2022-04-19,130706,710.7554358636941
2022-04-20,1,1062,51072,365,849,0,1735,2022-04-20,2022-04-19,244989,708.1950618191021
2022-04-20,2,2000,509311,2479,1540,0,13117,2022-04-20,2022-04-19,1852478,708.0785844690193
2022-04-20,3,3101,57603,267,1173,3,2196,2022-04-20,2022-04-19,248561,883.4853416264017
2022-04-20,3,3102,31719,160,433,0,947,2022-04-20,2022-04-19,103866,911.7516800492944
2022-04-20,3,3103,33979,175,15,1,474,2022-04-20,2022-04-19,123840,382.7519379844961
2022-04-20,3,3151,45620,294,777,0,1556,2022-04-20,2022-04-19,177227,877.9700609952208
2022-04-20,3,3153,29426,184,359,1,849,2022-04-20,2022-04-19,134688,630.3456878118318
2022-04-20,3,3154,22368,134,302,0,585,2022-04-20,2022-04-19,91518,639.2185143906117
2022-04-20,3,3155,30227,129,677,0,1302,2022-04-20,2022-04-19,131772,988.07030325107
2022-04-20,3,3157,36289,144,757,0,1193,2022-04-20,2022-04-19,135844,878.2132446041047
2022-04-20,3,3158,27259,122,550,0,1045,2022-04-20,2022-04-19,119361,875.4953460510553
2022-04-20,3,3159,63495,369,1066,0,2660,2022-04-20,2022-04-19,323900,821.2411238036431
2022-04-20,3,3241,307737,1513,4181,14,7033,2022-04-20,2022-04-19,1155330,608.7438221114314
2022-04-20,3,3251,52411,133,839,0,2092,2022-04-20,2022-04-19,218072,959.3161891485381
2022-04-20,3,3252,36422,122,704,1,1251,2022-04-20,2022-04-19,148580,841.9706555391034
2022-04-20,3,3254,66693,410,1274,0,2313,2022-04-20,2022-04-19,275464,839.6741497981587
2022-04-20,3,3255,16041,122,289,4,590,2022-04-20,2022-04-19,70207,840.3720426738075
2022-04-20,3,3256,28947,183,498,0,1517,2022-04-20,2022-04-19,121645,1247.0713962760492
2022-04-20,3,3257,38767,169,610,1,1570,2022-04-20,2022-04-19,158406,991.1240735830714
2022-04-20,3,3351,42846,137,541,0,1258,2022-04-20,2022-04-19,179386,701.2810364242472
2022-04-20,3,3352,44161,219,588,3,1839,2022-04-20,2022-04-19,198826,924.9293351976099
2022-04-20,3,3353,57591,186,1240,0,2639,2022-04-20,2022-04-19,256016,1030.7949503156053
2022-04-20,3,3354,9864,32,283,0,626,2022-04-20,2022-04-19,48503,1290.6418159701461
2022-04-20,3,3355,41166,102,762,0,1431,2022-04-20,2022-04-19,184235,776.7253779140771
2022-04-20,3,3356,24621,80,787,0,1263,2022-04-20,2022-04-19,114640,1101.7096999302164
2022-04-20,3,3357,35782,141,0,0,723,2022-04-20,2022-04-14,164486,439.5510864146493
2022-04-20,3,3358,30725,161,433,1,900,2022-04-20,2022-04-19,140885,638.8188948433119
2022-04-20,3,3359,44240,190,871,0,1726,2022-04-20,2022-04-19,205357,840.4875412087243
2022-04-20,3,3360,19422,152,443,2,967,2022-04-20,2022-04-19,92566,1044.6600263595706
2022-04-20,3,3361,32661,141,572,2,1326,2022-04-20,2022-04-19,137574,963.8449125561516
2022-04-20,3,3401,19591,89,245,1,703,2022-04-20,2022-04-19,77503,907.0616621292079
2022-04-20,3,3402,13558,40,358,1,578,2022-04-20,2022-04-19,49874,1158.9204796086137
2022-04-20,3,3403,38330,59,1360,0,2101,2022-04-20,2022-04-19,169605,1238.7606497449956
2022-04-20,3,3404,45390,147,1065,0,1408,2022-04-20,2022-04-19,164223,857.3707702331585
2022-04-20,3,3405,16866,96,630,2,584,2022-04-20,2022-04-19,75189,776.7093590817806
2022-04-20,3,3451,25293,88,1161,0,1742,2022-04-20,2022-04-19,125643,1386.468008563947
2022-04-20,3,3452,45279,130,987,1,1383,2022-04-20,2022-04-19,190178,727.2134526601395
2022-04-20,3,3453,54543,214,1038,2,2639,2022-04-20,2022-04-19,172632,1528.6852958895222
2022-04-20,3,3454,107305,283,1832,0,3788,2022-04-20,2022-04-19,328930,1151.6128051561122
2022-04-20,3,3455,19344,58,795,1,987,2022-04-20,2022-04-19,98971,997.2618241707167
2022-04-20,3,3456,44410,165,1196,0,2137,2022-04-20,2022-04-19,137891,1549.7748221421268
2022-04-20,3,3457,41735,107,987,0,1772,2022-04-20,2022-04-19,171483,1033.3385816669875
2022-04-20,3,3458,32305,145,1143,0,1809,2022-04-20,2022-04-19,131467,1376.0107099119932
2022-04-20,3,3459,103332,408,2354,0,3254,2022-04-20,2022-04-19,359471,905.2190580046791
2022-04-20,3,3460,50991,101,891,0,1346,2022-04-20,2022-04-19,143698,936.6866623056687
2022-04-20,3,3461,20111,148,659,0,1096,2022-04-20,2022-04-19,88524,1238.0823279562605
2022-04-20,3,3462,13127,54,262,1,755,2022-04-20,2022-04-19,57384,1315.6977554719085
2022-04-20,4,4011,143049,565,1404,2,4905,2022-04-20,2022-04-19,566573,865.7313355913536
2022-04-20,4,4012,32549,172,251,0,810,2022-04-20,2022-04-19,113557,713.2981674401402
2022-04-20,5,5111,171579,822,471,4,4033,2022-04-20,2022-04-19,620523,649.9356188247656
2022-04-20,5,5112,107704,888,352,1,1982,2022-04-20,2022-04-19,495885,399.68944412515
2022-04-20,5,5113,132628,753,1357,0,2644,2022-04-20,2022-04-19,582415,453.97182421469233
2022-04-20,5,5114,60256,263,175,0,1335,2022-04-20,2022-04-19,226844,588.5101655763433
2022-04-20,5,5116,59670,327,238,1,1397,2022-04-20,2022-04-19,259665,538.000885756648
