Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-04,0,Bundesgebiet,25033970,135942,106631,241,492134,591.8270898125214
2022-05-04,1,Schleswig-Holstein,668358,2452,5665,2,24816,852.5271610769959
2022-05-04,2,Hamburg,549276,2540,1075,5,10098,545.1076881884698
2022-05-04,3,Niedersachsen,2193303,8842,15513,53,66720,833.6435131926711
2022-05-04,4,Bremen,188390,760,1220,1,4716,693.3968506020908
2022-05-04,5,Nordrhein-Westfalen,4995951,24836,19877,41,97141,541.9130326120732
2022-05-04,6,Hessen,1746743,9972,9305,31,44481,706.8156920997006
2022-05-04,7,Rheinland-Pfalz,1086374,5533,5026,8,21812,532.2088595256041
2022-05-04,8,Baden-Württemberg,3515877,15808,12665,22,59520,536.0692559688366
2022-05-04,9,Bayern,4677324,23614,18662,12,88368,672.5020496289892
2022-05-04,10,Saarland,303056,1642,1298,2,6306,640.8595200565859
2022-05-04,11,Berlin,1007348,4495,4100,6,16776,457.8492656289915
2022-05-04,12,Brandenburg,767676,5567,3003,4,10911,431.08233629163306
2022-05-04,13,Mecklenburg-Vorpommern,470904,2164,1911,1,6957,431.9041653267311
2022-05-04,14,Sachsen,1473711,15325,4162,29,15752,388.27283906766206
2022-05-04,15,Sachsen-Anhalt,695476,5265,1875,9,10626,487.27830350477194
2022-05-04,16,Thüringen,694203,7127,1274,15,7134,336.47181895231523
