Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2021-05-08,1,1001,2235,39,3,0,32,2021-05-08,2021-05-07
2021-05-08,1,1002,5005,99,37,0,211,2021-05-08,2021-05-07
2021-05-08,1,1003,5434,95,24,1,124,2021-05-08,2021-05-07
2021-05-08,1,1004,1747,23,3,0,88,2021-05-08,2021-05-07
2021-05-08,1,1051,1895,44,3,0,58,2021-05-08,2021-05-07
2021-05-08,1,1053,4852,107,22,0,118,2021-05-08,2021-05-07
2021-05-08,1,1054,2587,79,7,1,48,2021-05-08,2021-05-07
2021-05-08,1,1055,3191,82,11,0,110,2021-05-08,2021-05-07
2021-05-08,1,1056,10025,337,24,0,178,2021-05-08,2021-05-07
2021-05-08,1,1057,1273,29,8,0,46,2021-05-08,2021-05-07
2021-05-08,1,1058,3832,51,11,0,79,2021-05-08,2021-05-07
2021-05-08,1,1059,2794,57,9,0,64,2021-05-08,2021-05-07
2021-05-08,1,1060,6549,154,16,0,119,2021-05-08,2021-05-07
2021-05-08,1,1061,2226,34,19,0,85,2021-05-08,2021-05-07
2021-05-08,1,1062,6683,294,23,0,154,2021-05-08,2021-05-07
2021-05-08,2,2000,73626,1517,292,2,1437,2021-05-08,2021-05-07
2021-05-08,3,3101,6047,174,36,1,231,2021-05-08,2021-05-07
2021-05-08,3,3102,5007,70,30,0,172,2021-05-08,2021-05-06
2021-05-08,3,3103,3656,82,16,0,164,2021-05-08,2021-05-07
2021-05-08,3,3151,5657,180,42,2,200,2021-05-08,2021-05-07
2021-05-08,3,3153,2457,110,4,2,57,2021-05-08,2021-05-07
2021-05-08,3,3154,2294,89,13,0,79,2021-05-08,2021-05-07
2021-05-08,3,3155,2318,49,33,1,133,2021-05-08,2021-05-07
2021-05-08,3,3157,5179,98,28,0,158,2021-05-08,2021-05-07
2021-05-08,3,3158,2674,95,18,0,112,2021-05-08,2021-05-07
2021-05-08,3,3159,7515,247,27,1,240,2021-05-08,2021-05-07
2021-05-08,3,3241,45979,984,177,7,1214,2021-05-08,2021-05-07
2021-05-08,3,3251,6484,96,33,0,233,2021-05-08,2021-05-07
2021-05-08,3,3252,4051,94,13,0,91,2021-05-08,2021-05-07
2021-05-08,3,3254,8327,276,26,1,165,2021-05-08,2021-05-07
2021-05-08,3,3255,1514,62,12,0,53,2021-05-08,2021-05-07
2021-05-08,3,3256,3539,145,28,0,126,2021-05-08,2021-05-07
2021-05-08,3,3257,4518,68,30,0,132,2021-05-08,2021-05-07
2021-05-08,3,3351,4405,64,25,0,95,2021-05-08,2021-05-07
2021-05-08,3,3352,4473,168,11,0,96,2021-05-08,2021-05-07
2021-05-08,3,3353,6308,107,24,0,166,2021-05-08,2021-05-07
2021-05-08,3,3354,781,24,13,0,61,2021-05-08,2021-05-07
2021-05-08,3,3355,3228,57,8,0,91,2021-05-08,2021-05-07
2021-05-08,3,3356,2583,58,14,0,74,2021-05-08,2021-05-07
2021-05-08,3,3357,3747,86,22,0,105,2021-05-08,2021-05-07
2021-05-08,3,3358,3238,99,7,0,84,2021-05-08,2021-05-07
2021-05-08,3,3359,4778,116,31,0,141,2021-05-08,2021-05-07
2021-05-08,3,3360,2128,111,6,0,46,2021-05-08,2021-05-07
2021-05-08,3,3361,3739,54,22,1,132,2021-05-08,2021-05-07
2021-05-08,3,3401,3286,65,31,1,138,2021-05-08,2021-05-07
2021-05-08,3,3402,1054,7,7,0,67,2021-05-08,2021-05-07
2021-05-08,3,3403,4017,44,14,0,110,2021-05-08,2021-05-07
2021-05-08,3,3404,7116,94,30,0,185,2021-05-08,2021-05-07
2021-05-08,3,3405,1833,48,5,0,25,2021-05-08,2021-05-06
2021-05-08,3,3451,2989,61,9,0,94,2021-05-08,2021-05-07
2021-05-08,3,3452,3311,50,28,0,122,2021-05-08,2021-05-07
2021-05-08,3,3453,10419,153,41,1,223,2021-05-08,2021-05-07
2021-05-08,3,3454,12126,179,36,0,206,2021-05-08,2021-05-07
2021-05-08,3,3455,1572,40,8,0,44,2021-05-08,2021-05-07
2021-05-08,3,3456,5108,115,33,0,192,2021-05-08,2021-05-07
2021-05-08,3,3457,4214,58,14,0,100,2021-05-08,2021-05-07
2021-05-08,3,3458,4782,108,18,0,103,2021-05-08,2021-05-07
2021-05-08,3,3459,14897,294,47,0,275,2021-05-08,2021-05-07
2021-05-08,3,3460,8449,85,23,0,240,2021-05-08,2021-05-07
2021-05-08,3,3461,3120,107,8,0,53,2021-05-08,2021-05-07
2021-05-08,3,3462,1167,33,3,0,26,2021-05-08,2021-05-07
2021-05-08,4,4011,21745,363,67,0,601,2021-05-08,2021-05-07
2021-05-08,4,4012,4272,98,15,0,153,2021-05-08,2021-05-07
2021-05-08,5,5111,23585,390,117,2,700,2021-05-08,2021-05-07
2021-05-08,5,5112,27239,623,116,0,638,2021-05-08,2021-05-07
2021-05-08,5,5113,24664,554,68,0,649,2021-05-08,2021-05-07
2021-05-08,5,5114,10835,161,72,1,427,2021-05-08,2021-05-07
2021-05-08,5,5116,10259,226,48,1,294,2021-05-08,2021-05-07
2021-05-08,5,5117,8003,216,37,0,143,2021-05-08,2021-05-07
2021-05-08,5,5119,10535,334,28,3,245,2021-05-08,2021-05-07
2021-05-08,5,5120,5877,157,25,0,186,2021-05-08,2021-05-07
2021-05-08,5,5122,8763,180,32,0,254,2021-05-08,2021-05-07
2021-05-08,5,5124,18883,448,79,1,603,2021-05-08,2021-05-07
2021-05-08,5,5154,10529,175,31,1,299,2021-05-08,2021-05-07
2021-05-08,5,5158,22544,711,114,3,1009,2021-05-08,2021-05-07
2021-05-08,5,5162,16766,323,109,2,558,2021-05-08,2021-05-07
2021-05-08,5,5166,10985,297,51,4,268,2021-05-08,2021-05-07
2021-05-08,5,5170,16701,277,46,4,401,2021-05-08,2021-05-07
2021-05-08,5,5314,13376,233,34,0,448,2021-05-08,2021-05-07
2021-05-08,5,5315,50004,654,226,0,1847,2021-05-08,2021-05-07
2021-05-08,5,5316,7275,93,55,1,423,2021-05-08,2021-05-07
2021-05-08,5,5334,24712,547,101,4,626,2021-05-08,2021-05-07
2021-05-08,5,5358,13075,272,63,0,340,2021-05-08,2021-05-07
2021-05-08,5,5362,18616,380,130,6,874,2021-05-08,2021-05-07
2021-05-08,5,5366,7470,229,19,0,228,2021-05-08,2021-05-07
2021-05-08,5,5370,10958,356,45,0,322,2021-05-08,2021-05-07
2021-05-08,5,5374,13606,223,80,0,526,2021-05-08,2021-05-07
2021-05-08,5,5378,10619,143,44,0,326,2021-05-08,2021-05-07
2021-05-08,5,5382,21862,485,85,4,555,2021-05-08,2021-05-07
2021-05-08,5,5512,5069,103,19,0,122,2021-05-08,2021-05-07
2021-05-08,5,5513,14558,385,51,0,390,2021-05-08,2021-05-07
2021-05-08,5,5515,7910,115,34,0,176,2021-05-08,2021-05-07
2021-05-08,5,5554,13256,248,54,0,368,2021-05-08,2021-05-07
2021-05-08,5,5558,5360,90,30,3,151,2021-05-08,2021-05-07
2021-05-08,5,5562,30151,845,141,0,788,2021-05-08,2021-05-07
2021-05-08,5,5566,16076,313,132,2,633,2021-05-08,2021-05-07
2021-05-08,5,5570,11135,231,39,0,301,2021-05-08,2021-05-07
2021-05-08,5,5711,14526,317,134,2,542,2021-05-08,2021-05-07
2021-05-08,5,5754,18559,299,86,0,558,2021-05-08,2021-05-07
2021-05-08,5,5758,10634,168,35,1,346,2021-05-08,2021-05-07
2021-05-08,5,5762,4766,140,15,0,93,2021-05-08,2021-05-07
2021-05-08,5,5766,16273,374,71,0,414,2021-05-08,2021-05-07
2021-05-08,5,5770,14267,253,61,0,347,2021-05-08,2021-05-07
2021-05-08,5,5774,9506,150,62,0,336,2021-05-08,2021-05-07
2021-05-08,5,5911,14921,223,78,1,483,2021-05-08,2021-05-07
2021-05-08,5,5913,26323,361,153,0,1005,2021-05-08,2021-05-07
2021-05-08,5,5914,11334,295,54,1,396,2021-05-08,2021-05-07
2021-05-08,5,5915,9700,187,56,0,392,2021-05-08,2021-05-07
2021-05-08,5,5916,9157,256,36,0,263,2021-05-08,2021-05-07
2021-05-08,5,5954,12771,344,52,1,304,2021-05-08,2021-05-07
2021-05-08,5,5958,9088,187,46,0,369,2021-05-08,2021-05-07
2021-05-08,5,5962,19462,373,67,1,583,2021-05-08,2021-05-07
2021-05-08,5,5966,5418,147,27,1,274,2021-05-08,2021-05-07
2021-05-08,5,5970,11026,171,19,0,266,2021-05-08,2021-05-07
2021-05-08,5,5974,8134,181,24,1,204,2021-05-08,2021-05-07
2021-05-08,5,5978,17929,471,103,0,574,2021-05-08,2021-05-07
2021-05-08,6,6411,5486,142,17,1,154,2021-05-08,2021-05-07
2021-05-08,6,6412,36679,750,173,2,1055,2021-05-08,2021-05-07
2021-05-08,6,6413,8750,171,44,0,286,2021-05-08,2021-05-07
2021-05-08,6,6414,11891,252,44,1,371,2021-05-08,2021-05-07
2021-05-08,6,6431,10442,312,38,0,288,2021-05-08,2021-05-07
2021-05-08,6,6432,10500,292,37,0,279,2021-05-08,2021-05-07
2021-05-08,6,6433,13247,280,48,0,315,2021-05-08,2021-05-07
2021-05-08,6,6434,7868,190,30,0,197,2021-05-08,2021-05-07
2021-05-08,6,6435,21159,582,75,0,474,2021-05-08,2021-05-07
2021-05-08,6,6436,8456,205,63,0,275,2021-05-08,2021-05-07
2021-05-08,6,6437,4206,164,24,1,182,2021-05-08,2021-05-07
2021-05-08,6,6438,17268,522,64,1,420,2021-05-08,2021-05-07
2021-05-08,6,6439,6735,162,30,1,191,2021-05-08,2021-05-07
2021-05-08,6,6440,12564,510,41,2,245,2021-05-08,2021-05-07
2021-05-08,6,6531,13296,347,54,0,328,2021-05-08,2021-05-07
