Datenstand,IdBundesland,IdLandkreis,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-09,1,1001,SK Flensburg,24725,71,0,0,589,654.9247225743322
2022-05-09,1,1002,SK Kiel,59188,217,0,0,1804,731.5461007862905
2022-05-09,1,1003,SK Lübeck,53894,136,0,0,1842,853.3862105389953
2022-05-09,1,1004,SK Neumünster,19751,81,0,0,582,728.364933358363
2022-05-09,1,1051,LK Dithmarschen,32992,99,76,0,1150,863.0329228298475
2022-05-09,1,1053,LK Herzogtum Lauenburg,47002,153,0,0,1271,638.2059934120671
2022-05-09,1,1054,LK Nordfriesland,42305,137,0,0,1504,899.8067569265377
2022-05-09,1,1055,LK Ostholstein,40754,116,0,0,1780,883.4316854189103
2022-05-09,1,1056,LK Pinneberg,75472,473,0,0,1531,482.83583266316606
2022-05-09,1,1057,LK Plön,24423,52,0,0,964,745.2475010243288
2022-05-09,1,1058,LK Rendsburg-Eckernförde,62025,99,0,0,2414,878.5689589285389
2022-05-09,1,1059,LK Schleswig-Flensburg,46530,121,117,0,1650,814.223748686139
2022-05-09,1,1060,LK Segeberg,70180,277,0,0,1953,702.5002967551177
2022-05-09,1,1061,LK Steinburg,25196,66,0,0,1957,1497.2533778097409
2022-05-09,1,1062,LK Stormarn,57082,367,0,0,1760,718.3996016147664
2022-05-09,2,2000,SK Hamburg,559399,2577,1010,0,9917,535.3369918563136
2022-05-09,3,3101,SK Braunschweig,63511,276,0,0,1874,753.9396767795431
2022-05-09,3,3102,SK Salzgitter,33459,164,0,0,611,588.2579477403577
2022-05-09,3,3103,SK Wolfsburg,37156,186,0,0,710,573.3204134366925
2022-05-09,3,3151,LK Gifhorn,49859,300,0,0,1081,609.9522081849831
2022-05-09,3,3153,LK Goslar,32407,187,0,0,891,661.5288667141839
2022-05-09,3,3154,LK Helmstedt,24537,140,0,0,502,548.5259730326275
2022-05-09,3,3155,LK Northeim,34072,137,0,0,1150,872.7195458822815
2022-05-09,3,3157,LK Peine,39428,149,0,0,848,624.245458025382
2022-05-09,3,3158,LK Wolfenbüttel,29890,125,0,0,840,703.7474551989343
2022-05-09,3,3159,LK Göttingen,70391,384,0,0,2834,874.9614078419265
2022-05-09,3,3241,Region Hannover,329680,1617,0,0,5421,469.2165874685155
2022-05-09,3,3251,LK Diepholz,60240,136,0,0,2322,1064.785942257603
2022-05-09,3,3252,LK Hameln-Pyrmont,39516,121,0,0,925,622.560236909409
2022-05-09,3,3254,LK Hildesheim,72791,456,0,0,2399,870.8942003310777
2022-05-09,3,3255,LK Holzminden,17932,130,0,0,488,695.0873844488442
2022-05-09,3,3256,LK Nienburg (Weser),33455,184,0,0,1236,1016.071355172839
2022-05-09,3,3257,LK Schaumburg,43291,180,0,0,1501,947.5651174829236
2022-05-09,3,3351,LK Celle,46587,149,0,0,1045,582.5426733412864
2022-05-09,3,3352,LK Cuxhaven,51182,224,0,0,1621,815.2857272187742
2022-05-09,3,3353,LK Harburg,64249,193,0,0,1476,576.5264670958065
2022-05-09,3,3354,LK Lüchow-Dannenberg,11367,33,0,0,510,1051.481351668969
