Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-23,0,Bundesgebiet,26045528,138326,1245,1,259489,312.0544805040118
2022-05-23,1,Schleswig-Holstein,720711,2514,1,0,14357,493.2193927942629
2022-05-23,2,Hamburg,575710,2642,0,0,5065,273.4175520572984
2022-05-23,3,Niedersachsen,2327961,9219,0,0,33471,418.2086635202621
2022-05-23,4,Bremen,198129,772,0,0,3016,443.44463558437354
2022-05-23,5,Nordrhein-Westfalen,5217153,25266,1126,1,58559,326.6785937629877
2022-05-23,6,Hessen,1833059,10071,0,0,23702,376.631495113579
2022-05-23,7,Rheinland-Pfalz,1138057,5652,0,0,12198,297.628996354911
2022-05-23,8,Baden-Württemberg,3640109,16034,0,0,31854,286.894322574451
2022-05-23,9,Bayern,4851670,23956,0,0,42563,323.9148191467349
2022-05-23,10,Saarland,312830,1671,0,0,2537,257.82756143094804
2022-05-23,11,Berlin,1038994,4578,118,0,9579,261.4293106497442
2022-05-23,12,Brandenburg,785611,5649,0,0,4936,195.01625991526907
2022-05-23,13,Mecklenburg-Vorpommern,483444,2217,0,0,4127,256.21223089024284
2022-05-23,14,Sachsen,1501976,15481,0,0,6270,154.54994292497722
2022-05-23,15,Sachsen-Anhalt,713239,5335,0,0,4524,207.45784350231395
2022-05-23,16,Thüringen,706875,7269,0,0,2731,128.80635513860008
