Datenstand,IdBundesland,IdLandkreis,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-06-05,1,1001,SK Flensburg,26607,73,0,0,387,430.31556474748146
2022-06-05,1,1002,SK Kiel,63960,221,0,0,1061,430.24967457552884
2022-06-05,1,1003,SK Lübeck,58493,137,0,0,996,461.44010081261644
2022-06-05,1,1004,SK Neumünster,21083,86,0,0,350,438.0201489268506
2022-06-05,1,1051,LK Dithmarschen,35191,104,0,0,483,362.4738275885359
2022-06-05,1,1053,LK Herzogtum Lauenburg,50814,154,0,0,693,347.9754157628344
2022-06-05,1,1054,LK Nordfriesland,46260,149,0,0,738,441.5275176940059
2022-06-05,1,1055,LK Ostholstein,44675,118,0,0,851,422.3597552199397
2022-06-05,1,1056,LK Pinneberg,82259,480,0,0,1254,395.47755333743316
2022-06-05,1,1057,LK Plön,27295,67,0,0,608,470.0316189033111
2022-06-05,1,1058,LK Rendsburg-Eckernförde,68744,102,0,0,1533,557.9313231306753
2022-06-05,1,1059,LK Schleswig-Flensburg,50485,125,0,0,874,431.2918523343548
2022-06-05,1,1060,LK Segeberg,76393,292,0,0,1351,485.95898664422117
2022-06-05,1,1061,LK Steinburg,32602,67,0,0,491,375.65222713570915
2022-06-05,1,1062,LK Stormarn,61799,373,0,0,926,377.9761540314055
2022-06-05,2,2000,SK Hamburg,588027,2660,0,0,4922,265.6981621374181
2022-06-05,3,3101,SK Braunschweig,67703,296,0,0,831,334.32437107993616
2022-06-05,3,3102,SK Salzgitter,34607,166,0,0,194,186.77911924980265
2022-06-05,3,3103,SK Wolfsburg,38789,197,0,0,322,260.0129198966408
2022-06-05,3,3151,LK Gifhorn,52339,333,0,0,550,310.3364611486963
2022-06-05,3,3153,LK Goslar,34087,207,0,0,346,256.88999762413874
2022-06-05,3,3154,LK Helmstedt,25780,143,0,0,156,170.45827050416312
2022-06-05,3,3155,LK Northeim,36075,141,0,0,306,232.21928786085056
2022-06-05,3,3157,LK Peine,41603,158,0,0,331,243.66184741320927
2022-06-05,3,3158,LK Wolfenbüttel,31788,128,0,0,338,283.1745712586188
2022-06-05,3,3159,LK Göttingen,77578,388,0,0,1065,328.80518678604506
2022-06-05,3,3241,Region Hannover,346069,1684,0,0,2800,242.35499813905983
2022-06-05,3,3251,LK Diepholz,64929,146,0,0,830,380.60823948053854
2022-06-05,3,3252,LK Hameln-Pyrmont,42001,120,0,0,461,310.2705613137704
2022-06-05,3,3254,LK Hildesheim,77268,483,0,0,906,328.89960212586766
2022-06-05,3,3255,LK Holzminden,19064,138,0,0,166,236.443659464156
2022-06-05,3,3256,LK Nienburg (Weser),35686,203,0,0,405,332.93600230177975
2022-06-05,3,3257,LK Schaumburg,46002,189,0,0,558,352.2593841142381
2022-06-05,3,3351,LK Celle,49355,154,0,0,602,335.589176412875
2022-06-05,3,3352,LK Cuxhaven,55193,245,0,0,864,434.55081327391787
2022-06-05,3,3353,LK Harburg,70198,207,0,0,1039,405.83401037435164
2022-06-05,3,3354,LK Lüchow-Dannenberg,12501,35,0,0,208,428.83945322969714
2022-06-05,3,3355,LK Lüneburg,50320,130,0,0,633,343.5829239829566
2022-06-05,3,3356,LK Osterholz,30444,85,0,0,465,405.61758548499654
