Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-06-01,0,Bundesgebiet,26360953,139091,54957,91,172097,206.95921573284002
2022-06-01,1,Schleswig-Holstein,739612,2544,3698,5,10424,358.10538068450205
2022-06-01,2,Hamburg,584896,2655,1539,6,4634,250.15141880227458
2022-06-01,3,Niedersachsen,2371014,9316,8354,16,20733,259.0517230069492
2022-06-01,4,Bremen,200988,775,444,1,1676,246.4234778645259
2022-06-01,5,Nordrhein-Westfalen,5289014,25424,12489,19,39603,220.9302130978262
2022-06-01,6,Hessen,1863333,10139,5203,4,17998,285.9933190892834
2022-06-01,7,Rheinland-Pfalz,1153118,5684,2621,4,7512,183.2914429101567
2022-06-01,8,Baden-Württemberg,3675186,16119,5553,6,18596,167.4856163305861
2022-06-01,9,Bayern,4901379,24079,7753,11,28477,216.7169209135063
2022-06-01,10,Saarland,315764,1679,573,0,1969,200.10345623079886
2022-06-01,11,Berlin,1050637,4613,1742,1,6582,179.63542360336322
2022-06-01,12,Brandenburg,790603,5670,826,6,2997,118.40837337237873
2022-06-01,13,Mecklenburg-Vorpommern,487942,2228,1087,0,2719,168.80083736141756
2022-06-01,14,Sachsen,1509814,15522,1577,3,4125,101.67759402959027
2022-06-01,15,Sachsen-Anhalt,717366,5354,951,7,2429,111.3870693782318
2022-06-01,16,Thüringen,710287,7290,547,2,1623,76.54804627973193
