Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-08,0,Bundesgebiet,25295950,136533,8488,10,427379,513.9544713776849
2022-05-08,1,Schleswig-Holstein,681326,2465,550,0,23031,791.2053935672265
2022-05-08,2,Hamburg,558389,2577,1560,8,10078,544.0280532346403
2022-05-08,3,Niedersachsen,2227557,8922,0,0,56939,711.4332733464852
2022-05-08,4,Bremen,191063,765,436,0,4414,648.9935747577669
2022-05-08,5,Nordrhein-Westfalen,5053941,24927,5066,0,87946,490.6175926344323
2022-05-08,6,Hessen,1766541,9993,0,0,35206,559.4333143603351
2022-05-08,7,Rheinland-Pfalz,1100671,5564,0,0,21459,523.5957232972646
2022-05-08,8,Baden-Württemberg,3547527,15871,0,0,51464,463.51257038273195
2022-05-08,9,Bayern,4721739,23685,0,0,75697,576.0726467812511
2022-05-08,10,Saarland,306169,1649,538,1,5309,539.537455119
2022-05-08,11,Berlin,1013941,4512,111,0,12397,338.3379438485102
2022-05-08,12,Brandenburg,772525,5591,0,0,9236,364.90481697273606
2022-05-08,13,Mecklenburg-Vorpommern,473544,2175,0,0,5607,348.0935252245194
2022-05-08,14,Sachsen,1482026,15393,0,0,13905,342.7459260561098
2022-05-08,15,Sachsen-Anhalt,701017,5281,227,1,9129,418.63011788961626
2022-05-08,16,Thüringen,697974,7163,0,0,5562,262.32916414532906
