Datenstand,IdBundesland,IdLandkreis,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-06-09,1,1001,SK Flensburg,26941,73,83,0,436,484.79996441835124
2022-06-09,1,1002,SK Kiel,64757,222,438,1,1095,444.0371288032085
2022-06-09,1,1003,SK Lübeck,59363,137,521,0,1179,546.222769937826
2022-06-09,1,1004,SK Neumünster,21331,86,151,0,337,421.75082910956763
2022-06-09,1,1051,LK Dithmarschen,35577,104,148,0,536,402.2483883798246
2022-06-09,1,1053,LK Herzogtum Lauenburg,51439,156,297,2,825,414.2564473367076
2022-06-09,1,1054,LK Nordfriesland,46830,151,269,2,761,455.28786038636645
2022-06-09,1,1055,LK Ostholstein,45382,119,433,1,940,466.5313394908853
2022-06-09,1,1056,LK Pinneberg,83371,481,610,0,1407,443.72959931879467
2022-06-09,1,1057,LK Plön,27947,67,402,0,666,514.8701614960611
2022-06-09,1,1058,LK Rendsburg-Eckernförde,70038,102,568,0,1720,625.9894819209143
2022-06-09,1,1059,LK Schleswig-Flensburg,51186,125,309,0,972,479.6518083169255
2022-06-09,1,1060,LK Segeberg,77082,295,414,2,1050,377.68833158877294
2022-06-09,1,1061,LK Steinburg,33027,67,180,0,523,400.1346533441464
2022-06-09,1,1062,LK Stormarn,62468,373,375,0,939,383.2825147251509
2022-06-09,2,2000,SK Hamburg,592178,2674,651,0,4920,265.59019864203515
2022-06-09,3,3101,SK Braunschweig,68490,296,464,0,1099,442.14498654253885
2022-06-09,3,3102,SK Salzgitter,34818,167,91,1,276,265.7269943966264
2022-06-09,3,3103,SK Wolfsburg,39057,197,103,0,370,298.77260981912144
2022-06-09,3,3151,LK Gifhorn,52733,333,201,0,561,316.5431903716702
2022-06-09,3,3153,LK Goslar,34349,207,144,0,380,282.1335234022333
2022-06-09,3,3154,LK Helmstedt,25906,143,51,0,177,193.4045761489543
2022-06-09,3,3155,LK Northeim,36242,142,114,0,234,177.57945542300337
2022-06-09,3,3157,LK Peine,42027,158,190,0,546,401.93162745502195
2022-06-09,3,3158,LK Wolfenbüttel,32118,130,179,1,432,361.9272626737377
2022-06-09,3,3159,LK Göttingen,78591,391,613,3,938,289.59555418338994
2022-06-09,3,3241,Region Hannover,348996,1684,1758,0,3767,326.0540278535137
2022-06-09,3,3251,LK Diepholz,65601,148,350,2,919,421.4204482923071
2022-06-09,3,3252,LK Hameln-Pyrmont,42412,120,216,0,580,390.3620944945484
2022-06-09,3,3254,LK Hildesheim,78212,483,483,0,1216,441.4369935817384
2022-06-09,3,3255,LK Holzminden,19212,139,91,1,200,284.8718788724771
2022-06-09,3,3256,LK Nienburg (Weser),36083,203,196,0,534,438.98228451642075
2022-06-09,3,3257,LK Schaumburg,46457,190,239,1,634,400.2373647462849
2022-06-09,3,3351,LK Celle,49709,154,216,0,543,302.6992072959986
2022-06-09,3,3352,LK Cuxhaven,55368,245,0,0,407,204.70159838250532
2022-06-09,3,3353,LK Harburg,70942,207,215,0,978,382.0073745390913
2022-06-09,3,3354,LK Lüchow-Dannenberg,12549,37,0,0,119,245.34564872275942
2022-06-09,3,3355,LK Lüneburg,50879,134,345,0,743,403.28927728173255
2022-06-09,3,3356,LK Osterholz,30842,85,209,0,500,436.1479413817167
2022-06-09,3,3357,LK Rotenburg (Wümme),47338,179,332,0,894,543.5113018737156
2022-06-09,3,3358,LK Heidekreis,37075,181,116,0,450,319.40944742165595
2022-06-09,3,3359,LK Stade,57175,208,370,0,1026,499.61773886451397
2022-06-09,3,3360,LK Uelzen,24985,190,239,0,561,606.0540587256661
2022-06-09,3,3361,LK Verden,40449,149,264,0,651,473.1998778839025
2022-06-09,3,3401,SK Delmenhorst,23500,99,78,0,283,365.147155593977
2022-06-09,3,3402,SK Emden,15567,41,35,0,93,186.46990415847935
2022-06-09,3,3403,SK Oldenburg,48927,62,233,0,788,464.6089443117832
2022-06-09,3,3404,SK Osnabrück,52837,154,292,1,710,432.33895373973195
2022-06-09,3,3405,SK Wilhelmshaven,20427,122,86,0,182,242.0566838234316
2022-06-09,3,3451,LK Ammerland,34432,92,118,0,720,573.0522193834913
2022-06-09,3,3452,LK Aurich,57532,145,232,0,622,327.06201558539897
2022-06-09,3,3453,LK Cloppenburg,70348,245,0,0,348,201.58487418323372
2022-06-09,3,3454,LK Emsland,131901,290,634,0,1724,524.123673729973
2022-06-09,3,3455,LK Friesland,24506,62,81,0,291,294.0255226278405
2022-06-09,3,3456,LK Grafschaft Bentheim,52545,176,189,0,645,467.7607675627851
2022-06-09,3,3457,LK Leer,50687,121,87,0,301,175.52760331927948
2022-06-09,3,3458,LK Oldenburg,41555,154,238,0,791,601.6719024546085
