Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-06-06,0,Bundesgebiet,26496611,139386,3376,0,211035,253.785005503756
2022-06-06,1,Schleswig-Holstein,746855,2548,195,0,12335,423.7557435479023
2022-06-06,2,Hamburg,588027,2660,0,0,4567,246.53464170694605
2022-06-06,3,Niedersachsen,2389367,9382,0,0,26505,331.17088305113526
2022-06-06,4,Bremen,202299,778,264,0,2094,307.8823166159411
2022-06-06,5,Nordrhein-Westfalen,5324446,25466,2917,0,50646,282.5349486794562
2022-06-06,6,Hessen,1876968,10182,0,0,22674,360.29628386656356
2022-06-06,7,Rheinland-Pfalz,1160380,5690,0,0,10403,253.83132063290202
2022-06-06,8,Baden-Württemberg,3689281,16145,0,0,21823,196.5497206486546
2022-06-06,9,Bayern,4920800,24111,0,0,32502,247.34815337046678
2022-06-06,10,Saarland,317115,1696,0,0,2534,257.5226805936233
2022-06-06,11,Berlin,1054677,4618,0,0,6924,188.9692605636109
2022-06-06,12,Brandenburg,793126,5674,0,0,4002,158.11488496371692
2022-06-06,13,Mecklenburg-Vorpommern,489577,2235,0,0,3428,212.81694390398653
2022-06-06,14,Sachsen,1513344,15540,0,0,5471,134.85530107536687
2022-06-06,15,Sachsen-Anhalt,719046,5364,0,0,3170,145.36723340016252
2022-06-06,16,Thüringen,711303,7297,0,0,1957,92.30100219928244
