Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2021-12-19,1,1001,3887,46,19,0,184,2021-12-19,2021-12-18
2021-12-19,1,1002,10140,124,41,0,405,2021-12-19,2021-12-18
2021-12-19,1,1003,9870,118,26,0,463,2021-12-19,2021-12-18
2021-12-19,1,1004,3534,28,34,0,144,2021-12-19,2021-12-18
2021-12-19,1,1051,3607,61,22,0,113,2021-12-19,2021-12-18
2021-12-19,1,1053,9072,130,0,0,407,2021-12-19,2021-12-17
2021-12-19,1,1054,4900,93,69,0,218,2021-12-19,2021-12-18
2021-12-19,1,1055,5668,95,0,0,286,2021-12-19,2021-12-17
2021-12-19,1,1056,16774,410,110,0,603,2021-12-19,2021-12-18
2021-12-19,1,1057,2895,38,0,0,134,2021-12-19,2021-12-17
2021-12-19,1,1058,7390,71,68,1,441,2021-12-19,2021-12-18
2021-12-19,1,1059,4920,68,24,1,203,2021-12-19,2021-12-18
2021-12-19,1,1060,11206,190,61,0,508,2021-12-19,2021-12-18
2021-12-19,1,1061,4069,50,20,0,174,2021-12-19,2021-12-18
2021-12-19,1,1062,11679,333,60,0,598,2021-12-19,2021-12-18
2021-12-19,2,2000,128265,1953,908,3,5323,2021-12-19,2021-12-17
2021-12-19,3,3101,11116,214,63,0,387,2021-12-19,2021-12-18
2021-12-19,3,3102,8899,113,0,0,262,2021-12-19,2021-12-17
2021-12-19,3,3103,7431,112,42,0,331,2021-12-19,2021-12-18
2021-12-19,3,3151,10727,231,77,0,351,2021-12-19,2021-12-18
2021-12-19,3,3153,4610,148,28,2,150,2021-12-19,2021-12-18
2021-12-19,3,3154,4132,109,26,0,193,2021-12-19,2021-12-18
2021-12-19,3,3155,4882,77,0,0,183,2021-12-19,2021-12-17
2021-12-19,3,3157,8207,112,39,0,192,2021-12-19,2021-12-18
2021-12-19,3,3158,4931,104,47,0,197,2021-12-19,2021-12-18
2021-12-19,3,3159,14313,315,154,0,736,2021-12-19,2021-12-18
2021-12-19,3,3241,75017,1188,366,0,2416,2021-12-19,2021-12-18
2021-12-19,3,3251,10556,117,0,0,417,2021-12-19,2021-12-17
2021-12-19,3,3252,6920,108,26,0,211,2021-12-19,2021-12-18
2021-12-19,3,3254,14240,326,74,1,493,2021-12-19,2021-12-18
2021-12-19,3,3255,2939,75,20,0,212,2021-12-19,2021-12-18
2021-12-19,3,3256,5489,167,0,0,175,2021-12-19,2021-12-17
2021-12-19,3,3257,7738,103,15,0,267,2021-12-19,2021-12-18
2021-12-19,3,3351,8351,95,1,1,251,2021-12-19,2021-12-17
2021-12-19,3,3352,7166,186,24,0,209,2021-12-19,2021-12-17
2021-12-19,3,3353,11317,134,87,0,443,2021-12-19,2021-12-18
2021-12-19,3,3354,1655,28,7,0,100,2021-12-19,2021-12-18
2021-12-19,3,3355,6684,80,53,0,272,2021-12-19,2021-12-18
2021-12-19,3,3356,4334,68,43,0,213,2021-12-19,2021-12-18
2021-12-19,3,3357,6181,106,0,0,147,2021-12-19,2021-12-17
2021-12-19,3,3358,5237,117,0,0,208,2021-12-19,2021-12-17
2021-12-19,3,3359,8701,152,0,0,286,2021-12-19,2021-12-17
2021-12-19,3,3360,3600,126,21,0,141,2021-12-19,2021-12-18
2021-12-19,3,3361,7289,85,53,0,448,2021-12-19,2021-12-18
2021-12-19,3,3401,5410,76,29,0,127,2021-12-19,2021-12-18
2021-12-19,3,3402,2052,20,5,0,37,2021-12-19,2021-12-17
2021-12-19,3,3403,7181,55,38,0,174,2021-12-19,2021-12-18
2021-12-19,3,3404,10888,112,39,0,289,2021-12-19,2021-12-18
2021-12-19,3,3405,3192,64,16,0,104,2021-12-19,2021-12-18
2021-12-19,3,3451,4852,73,26,0,114,2021-12-19,2021-12-18
2021-12-19,3,3452,6111,73,30,1,209,2021-12-19,2021-12-18
2021-12-19,3,3453,17206,197,0,0,334,2021-12-19,2021-12-17
2021-12-19,3,3454,21666,234,0,0,599,2021-12-19,2021-12-17
2021-12-19,3,3455,2782,46,7,0,59,2021-12-19,2021-12-18
2021-12-19,3,3456,8630,134,40,0,305,2021-12-19,2021-12-18
2021-12-19,3,3457,7298,77,55,0,260,2021-12-19,2021-12-18
2021-12-19,3,3458,7299,128,6,0,162,2021-12-19,2021-12-18
2021-12-19,3,3459,24465,340,97,0,652,2021-12-19,2021-12-18
2021-12-19,3,3460,12884,101,0,0,388,2021-12-19,2021-12-17
2021-12-19,3,3461,4638,119,22,0,162,2021-12-19,2021-12-18
2021-12-19,3,3462,2112,37,0,0,46,2021-12-19,2021-12-17
2021-12-19,4,4011,35635,445,136,0,1596,2021-12-19,2021-12-18
2021-12-19,4,4012,8423,130,27,0,206,2021-12-19,2021-12-18
2021-12-19,5,5111,45470,560,244,0,1491,2021-12-19,2021-12-18
2021-12-19,5,5112,42177,774,107,0,915,2021-12-19,2021-12-18
2021-12-19,5,5113,41054,642,186,0,1585,2021-12-19,2021-12-18
2021-12-19,5,5114,18863,215,89,3,696,2021-12-19,2021-12-18
2021-12-19,5,5116,18789,268,117,3,428,2021-12-19,2021-12-18
2021-12-19,5,5117,12384,261,54,2,257,2021-12-19,2021-12-18
2021-12-19,5,5119,16074,399,80,0,591,2021-12-19,2021-12-18
2021-12-19,5,5120,9366,203,51,0,395,2021-12-19,2021-12-18
2021-12-19,5,5122,14080,232,1,0,421,2021-12-19,2021-12-18
2021-12-19,5,5124,32833,527,132,0,1097,2021-12-19,2021-12-18
2021-12-19,5,5154,18946,253,46,0,592,2021-12-19,2021-12-17
2021-12-19,5,5158,38434,843,82,0,1582,2021-12-19,2021-12-18
2021-12-19,5,5162,30102,408,85,1,758,2021-12-19,2021-12-18
2021-12-19,5,5166,18615,341,93,0,695,2021-12-19,2021-12-18
2021-12-19,5,5170,27883,345,211,0,917,2021-12-19,2021-12-18
2021-12-19,5,5314,23461,293,58,0,595,2021-12-19,2021-12-18
2021-12-19,5,5315,93591,854,435,1,2970,2021-12-19,2021-12-18
2021-12-19,5,5316,14091,131,58,0,438,2021-12-19,2021-12-18
2021-12-19,5,5334,41465,651,143,0,1076,2021-12-19,2021-12-18
2021-12-19,5,5358,20366,333,46,1,513,2021-12-19,2021-12-18
2021-12-19,5,5362,33376,451,123,0,917,2021-12-19,2021-12-18
2021-12-19,5,5366,12927,265,56,1,511,2021-12-19,2021-12-18
2021-12-19,5,5370,18890,427,0,0,679,2021-12-19,2021-12-17
2021-12-19,5,5374,24690,310,170,0,950,2021-12-19,2021-12-18
2021-12-19,5,5378,18545,199,107,0,628,2021-12-19,2021-12-18
2021-12-19,5,5382,39254,624,177,1,1114,2021-12-19,2021-12-18
2021-12-19,5,5512,8254,140,34,0,188,2021-12-19,2021-12-18
2021-12-19,5,5513,23595,474,0,0,408,2021-12-19,2021-12-17
2021-12-19,5,5515,13699,139,38,0,339,2021-12-19,2021-12-18
2021-12-19,5,5554,22403,308,85,0,590,2021-12-19,2021-12-18
2021-12-19,5,5558,8993,104,59,0,341,2021-12-19,2021-12-18
2021-12-19,5,5562,46157,1074,115,0,1438,2021-12-19,2021-12-18
2021-12-19,5,5566,27909,379,152,0,1137,2021-12-19,2021-12-18
2021-12-19,5,5570,19216,297,112,0,835,2021-12-19,2021-12-18
2021-12-19,5,5711,27472,422,61,0,714,2021-12-19,2021-12-18
2021-12-19,5,5754,33179,375,189,0,1197,2021-12-19,2021-12-18
2021-12-19,5,5758,19360,216,122,0,754,2021-12-19,2021-12-18
2021-12-19,5,5762,8081,166,7,0,219,2021-12-19,2021-12-18
2021-12-19,5,5766,30008,455,245,0,1773,2021-12-19,2021-12-18
2021-12-19,5,5770,26835,356,0,0,840,2021-12-19,2021-12-17
2021-12-19,5,5774,19415,185,95,0,825,2021-12-19,2021-12-18
2021-12-19,5,5911,25722,309,0,0,615,2021-12-19,2021-12-17
2021-12-19,5,5913,45060,443,247,1,1490,2021-12-19,2021-12-18
2021-12-19,5,5914,19172,363,15,0,471,2021-12-19,2021-12-18
2021-12-19,5,5915,15694,230,63,0,403,2021-12-19,2021-12-18
2021-12-19,5,5916,14050,305,75,1,437,2021-12-19,2021-12-18
2021-12-19,5,5954,20714,408,42,0,636,2021-12-19,2021-12-18
2021-12-19,5,5958,14473,227,36,0,332,2021-12-19,2021-12-18
2021-12-19,5,5962,32816,475,186,0,1206,2021-12-19,2021-12-18
2021-12-19,5,5966,8541,179,17,0,201,2021-12-19,2021-12-18
2021-12-19,5,5970,18758,221,81,0,510,2021-12-19,2021-12-18
2021-12-19,5,5974,15444,230,59,0,979,2021-12-19,2021-12-18
2021-12-19,5,5978,26959,533,124,2,800,2021-12-19,2021-12-18
2021-12-19,6,6411,10112,167,59,0,336,2021-12-19,2021-12-18
2021-12-19,6,6412,66219,950,85,0,1617,2021-12-19,2021-12-18
2021-12-19,6,6413,15230,219,72,0,488,2021-12-19,2021-12-18
2021-12-19,6,6414,21003,316,113,0,736,2021-12-19,2021-12-18
2021-12-19,6,6431,19500,377,114,0,802,2021-12-19,2021-12-18
2021-12-19,6,6432,18392,344,72,0,551,2021-12-19,2021-12-18
2021-12-19,6,6433,22212,330,76,0,542,2021-12-19,2021-12-18
2021-12-19,6,6434,13532,240,60,0,348,2021-12-19,2021-12-18
2021-12-19,6,6435,35538,711,0,0,839,2021-12-19,2021-12-17
2021-12-19,6,6436,14899,252,61,0,372,2021-12-19,2021-12-18
2021-12-19,6,6437,7759,194,20,0,207,2021-12-19,2021-12-18
2021-12-19,6,6438,29496,623,102,0,761,2021-12-19,2021-12-18
2021-12-19,6,6439,11126,196,89,0,463,2021-12-19,2021-12-18
2021-12-19,6,6440,21388,567,77,2,556,2021-12-19,2021-12-18
2021-12-19,6,6531,19457,382,68,0,434,2021-12-19,2021-12-18
2021-12-19,6,6532,17579,254,67,0,386,2021-12-19,2021-12-18
2021-12-19,6,6533,13090,296,0,0,234,2021-12-19,2021-12-17
2021-12-19,6,6534,15395,306,52,0,341,2021-12-19,2021-12-18
2021-12-19,6,6535,5866,118,0,0,131,2021-12-19,2021-12-17
2021-12-19,6,6611,13262,209,53,0,488,2021-12-19,2021-12-18
2021-12-19,6,6631,21024,320,46,2,667,2021-12-19,2021-12-18
2021-12-19,6,6632,8322,197,0,0,250,2021-12-19,2021-12-17
2021-12-19,6,6633,12489,235,35,0,368,2021-12-19,2021-12-18
2021-12-19,6,6634,9719,260,44,0,271,2021-12-19,2021-12-18
2021-12-19,6,6635,9598,166,40,1,396,2021-12-19,2021-12-18
2021-12-19,6,6636,5738,177,30,0,144,2021-12-19,2021-12-18
2021-12-19,7,7111,6983,171,0,0,220,2021-12-19,2021-12-17
2021-12-19,7,7131,7809,78,33,0,234,2021-12-19,2021-12-18
2021-12-19,7,7132,8094,112,0,0,194,2021-12-19,2021-12-17
2021-12-19,7,7133,9498,153,51,0,272,2021-12-19,2021-12-18
2021-12-19,7,7134,5682,110,17,2,131,2021-12-19,2021-12-18
2021-12-19,7,7135,3421,80,0,0,100,2021-12-19,2021-12-17
2021-12-19,7,7137,11757,202,0,0,342,2021-12-19,2021-12-17
2021-12-19,7,7138,13130,210,-1,0,341,2021-12-19,2021-12-16
2021-12-19,7,7140,6596,112,28,0,239,2021-12-19,2021-12-18
2021-12-19,7,7141,6393,106,0,0,200,2021-12-19,2021-12-17
2021-12-19,7,7143,11669,185,62,0,295,2021-12-19,2021-12-17
2021-12-19,7,7211,4676,41,8,0,176,2021-12-19,2021-12-17
2021-12-19,7,7231,5505,70,0,0,215,2021-12-19,2021-12-17
2021-12-19,7,7232,5220,41,32,0,157,2021-12-19,2021-12-18
2021-12-19,7,7233,3283,66,13,0,121,2021-12-19,2021-12-18
2021-12-19,7,7235,7534,111,8,0,195,2021-12-19,2021-12-18
2021-12-19,7,7311,4201,63,9,0,142,2021-12-19,2021-12-17
2021-12-19,7,7312,6608,129,0,0,311,2021-12-19,2021-12-17
2021-12-19,7,7313,3511,53,5,0,137,2021-12-19,2021-12-17
2021-12-19,7,7314,17385,355,35,0,411,2021-12-19,2021-12-17
2021-12-19,7,7315,15347,231,51,0,338,2021-12-19,2021-12-18
2021-12-19,7,7316,3894,51,6,0,170,2021-12-19,2021-12-18
2021-12-19,7,7317,2427,69,4,0,131,2021-12-19,2021-12-18
2021-12-19,7,7318,5307,104,18,0,185,2021-12-19,2021-12-17
2021-12-19,7,7319,7506,108,1,0,208,2021-12-19,2021-12-17
2021-12-19,7,7320,1711,9,13,0,122,2021-12-19,2021-12-18
2021-12-19,7,7331,9165,149,7,0,303,2021-12-19,2021-12-18
2021-12-19,7,7332,7955,176,22,0,274,2021-12-19,2021-12-18
2021-12-19,7,7333,4276,85,0,0,102,2021-12-19,2021-12-17
2021-12-19,7,7334,11760,156,0,0,583,2021-12-19,2021-12-17
2021-12-19,7,7335,7210,97,0,0,401,2021-12-19,2021-12-17
2021-12-19,7,7336,3704,76,10,0,157,2021-12-19,2021-12-18
2021-12-19,7,7337,7952,134,6,0,306,2021-12-19,2021-12-18
2021-12-19,7,7338,12546,247,27,0,344,2021-12-19,2021-12-17
2021-12-19,7,7339,11700,245,30,0,251,2021-12-19,2021-12-18
2021-12-19,7,7340,5002,101,8,0,212,2021-12-19,2021-12-18
2021-12-19,8,8111,55473,572,85,0,3001,2021-12-19,2021-12-18
2021-12-19,8,8115,33024,357,143,0,1018,2021-12-19,2021-12-18
2021-12-19,8,8116,48285,646,134,0,1698,2021-12-19,2021-12-18
2021-12-19,8,8117,24833,313,103,0,797,2021-12-19,2021-12-18
2021-12-19,8,8118,47577,575,193,0,1445,2021-12-19,2021-12-18
2021-12-19,8,8119,39298,454,177,0,1406,2021-12-19,2021-12-18
2021-12-19,8,8121,16111,197,119,1,550,2021-12-19,2021-12-18
2021-12-19,8,8125,33077,261,228,0,1535,2021-12-19,2021-12-18
