Datenstand,IdBundesland,Bundesland,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,incidence_7d
2022-05-22,0,Bundesgebiet,26044283,138325,3823,1,268108,322.41945769943857
2022-05-22,1,Schleswig-Holstein,720710,2514,0,0,14719,505.6555159531069
2022-05-22,2,Hamburg,575710,2642,0,0,5611,302.8915862968413
2022-05-22,3,Niedersachsen,2327961,9219,0,0,34625,432.62749766631043
2022-05-22,4,Bremen,198129,772,601,0,3060,449.913987031891
2022-05-22,5,Nordrhein-Westfalen,5216027,25265,3184,1,60112,335.342195534089
2022-05-22,6,Hessen,1833059,10071,0,0,24221,384.8785521536578
2022-05-22,7,Rheinland-Pfalz,1138057,5652,0,0,12357,301.50856763056527
2022-05-22,8,Baden-Württemberg,3640109,16034,0,0,32914,296.4412548884121
2022-05-22,9,Bayern,4851670,23956,0,0,45277,344.5690216034282
2022-05-22,10,Saarland,312830,1671,0,0,2537,257.82756143094804
2022-05-22,11,Berlin,1038876,4578,38,0,9565,261.04722375663465
2022-05-22,12,Brandenburg,785611,5649,0,0,4977,196.63612755232862
2022-05-22,13,Mecklenburg-Vorpommern,483444,2217,0,0,4147,257.4538700028682
2022-05-22,14,Sachsen,1501976,15481,0,0,6577,162.11722083214914
2022-05-22,15,Sachsen-Anhalt,713239,5335,0,0,4623,211.99770347285533
2022-05-22,16,Thüringen,706875,7269,0,0,2786,131.40040476607098
