Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max
2022-04-13,1,1001,21874,68,184,2,884,2022-04-13,2022-04-12
2022-04-13,1,1002,51033,201,586,3,3070,2022-04-13,2022-04-12
2022-04-13,1,1003,45767,131,537,0,2687,2022-04-13,2022-04-12
2022-04-13,1,1004,17234,75,170,0,864,2022-04-13,2022-04-12
2022-04-13,1,1051,27351,94,294,0,1893,2022-04-13,2022-04-12
2022-04-13,1,1053,40151,148,528,0,2161,2022-04-13,2022-04-12
2022-04-13,1,1054,35351,130,511,0,2041,2022-04-13,2022-04-12
2022-04-13,1,1055,31821,112,409,0,2511,2022-04-13,2022-04-12
2022-04-13,1,1056,65558,455,659,0,3018,2022-04-13,2022-04-12
2022-04-13,1,1057,19871,50,148,0,1250,2022-04-13,2022-04-12
2022-04-13,1,1058,51838,93,719,0,3548,2022-04-13,2022-04-12
2022-04-13,1,1059,38805,109,399,2,2265,2022-04-13,2022-04-12
2022-04-13,1,1060,57070,259,1124,0,2993,2022-04-13,2022-04-12
2022-04-13,1,1061,19922,63,338,0,1340,2022-04-13,2022-04-12
2022-04-13,1,1062,49236,363,631,0,2524,2022-04-13,2022-04-12
2022-04-13,2,2000,489172,2464,3340,10,18145,2022-04-13,2022-04-12
2022-04-13,3,3101,55405,261,673,0,2901,2022-04-13,2022-04-12
2022-04-13,3,3102,30776,155,436,2,2045,2022-04-13,2022-04-12
2022-04-13,3,3103,33496,172,458,3,1006,2022-04-13,2022-04-12
2022-04-13,3,3151,43957,294,312,0,1955,2022-04-13,2022-04-12
2022-04-13,3,3153,28573,181,281,4,1380,2022-04-13,2022-04-12
2022-04-13,3,3154,21680,132,167,0,852,2022-04-13,2022-04-12
2022-04-13,3,3155,28933,127,304,1,1648,2022-04-13,2022-04-12
2022-04-13,3,3157,34957,141,428,0,1758,2022-04-13,2022-04-12
2022-04-13,3,3158,26203,122,294,0,1419,2022-04-13,2022-04-12
2022-04-13,3,3159,60758,366,671,9,2964,2022-04-13,2022-04-12
2022-04-13,3,3241,299788,1473,2510,0,10484,2022-04-13,2022-04-12
2022-04-13,3,3251,50313,133,815,0,3485,2022-04-13,2022-04-12
2022-04-13,3,3252,35173,121,479,0,1629,2022-04-13,2022-04-12
2022-04-13,3,3254,64382,404,665,2,3214,2022-04-13,2022-04-12
2022-04-13,3,3255,15459,117,267,0,930,2022-04-13,2022-04-12
2022-04-13,3,3256,27409,183,469,0,2117,2022-04-13,2022-04-12
2022-04-13,3,3257,37177,164,994,3,2538,2022-04-13,2022-04-12
2022-04-13,3,3351,41591,135,512,0,2124,2022-04-13,2022-04-12
2022-04-13,3,3352,42267,216,742,0,3471,2022-04-13,2022-04-12
2022-04-13,3,3353,54958,186,629,0,3421,2022-04-13,2022-04-12
2022-04-13,3,3354,9238,32,86,0,1202,2022-04-13,2022-04-12
2022-04-13,3,3355,39288,102,655,0,2233,2022-04-13,2022-04-12
2022-04-13,3,3356,23224,80,431,2,1486,2022-04-13,2022-04-12
2022-04-13,3,3357,34820,138,560,0,2400,2022-04-13,2022-04-12
2022-04-13,3,3358,29615,159,413,1,1725,2022-04-13,2022-04-12
2022-04-13,3,3359,42177,190,849,1,2674,2022-04-13,2022-04-12
2022-04-13,3,3360,18457,150,625,2,2119,2022-04-13,2022-04-12
2022-04-13,3,3361,31335,139,430,0,2030,2022-04-13,2022-04-12
2022-04-13,3,3401,18884,88,260,1,1049,2022-04-13,2022-04-12
2022-04-13,3,3402,12936,39,218,0,801,2022-04-13,2022-04-12
2022-04-13,3,3403,35952,59,493,0,2441,2022-04-13,2022-04-12
2022-04-13,3,3404,43545,147,338,3,1717,2022-04-13,2022-04-12
2022-04-13,3,3405,16037,93,134,1,869,2022-04-13,2022-04-12
2022-04-13,3,3451,23548,87,206,0,1458,2022-04-13,2022-04-12
2022-04-13,3,3452,43087,127,210,1,2747,2022-04-13,2022-04-12
