Datenstand,IdBundesland,IdLandkreis,AnzahlFall,AnzahlTodesfall,AnzahlFall_neu,AnzahlTodesfall_neu,AnzahlFall_7d,report_date,meldedatum_max,population,incidence_7d
2022-04-23,3,3456,45924,166,467,0,2195,2022-04-23,2022-04-22,137891,1591.83703069816
2022-04-23,3,3457,43539,108,774,0,2238,2022-04-23,2022-04-22,171483,1305.0856353107888
2022-04-23,3,3458,34003,145,507,0,2460,2022-04-23,2022-04-22,131467,1871.192010162246
2022-04-23,3,3459,105990,408,810,0,3938,2022-04-23,2022-04-22,359471,1095.4986633135914
2022-04-23,3,3460,53068,102,554,1,2321,2022-04-23,2022-04-22,143698,1615.192974154129
2022-04-23,3,3461,20843,148,224,0,1163,2022-04-23,2022-04-22,88524,1313.7680177127106
2022-04-23,3,3462,14036,54,306,0,1172,2022-04-23,2022-04-22,57384,2042.3811515404989
2022-04-23,4,4011,146914,569,1170,2,6187,2022-04-23,2022-04-22,566573,1092.004031254578
2022-04-23,4,4012,33594,174,266,0,1391,2022-04-23,2022-04-22,113557,1224.9354949496728
2022-04-23,5,5111,174161,826,947,0,4102,2022-04-23,2022-04-22,620523,661.055271118073
2022-04-23,5,5112,109074,890,355,0,2101,2022-04-23,2022-04-22,495885,423.6869435453785
2022-04-23,5,5113,135893,756,772,0,4204,2022-04-23,2022-04-22,582415,721.8220684563413
2022-04-23,5,5114,61120,264,179,0,1280,2022-04-23,2022-04-22,226844,564.2644284177674
2022-04-23,5,5116,60982,328,303,1,1824,2022-04-23,2022-04-22,259665,702.4435330136907
2022-04-23,5,5117,40175,332,322,0,1156,2022-04-23,2022-04-22,170921,676.335851065697
2022-04-23,5,5119,47923,455,257,0,921,2022-04-23,2022-04-22,209566,439.479686590382
2022-04-23,5,5120,31904,265,125,0,888,2022-04-23,2022-04-22,111516,796.2982890347574
2022-04-23,5,5122,50813,297,176,0,1292,2022-04-23,2022-04-22,159193,811.5934745874505
2022-04-23,5,5124,104558,641,207,1,2389,2022-04-23,2022-04-21,355004,672.9501639418147
2022-04-23,5,5154,73541,343,381,5,2282,2022-04-23,2022-04-22,313586,727.7110585293987
2022-04-23,5,5158,134249,985,648,0,3149,2022-04-23,2022-04-22,484322,650.187272104096
2022-04-23,5,5162,114697,527,449,0,2807,2022-04-23,2022-04-22,452001,621.0163251851213
2022-04-23,5,5166,74386,376,402,0,2278,2022-04-23,2022-04-22,298536,763.0570517458531
2022-04-23,5,5170,113639,399,801,0,3163,2022-04-23,2022-04-22,460113,687.4398245648351
2022-04-23,5,5314,89058,381,287,0,2208,2022-04-23,2022-04-22,330579,667.9190148194531
2022-04-23,5,5315,330141,1041,1023,0,5484,2022-04-23,2022-04-22,1083498,506.1384515707459
2022-04-23,5,5316,46515,171,147,0,956,2022-04-23,2022-04-22,163905,583.2646960129343
2022-04-23,5,5334,151424,810,647,0,4083,2022-04-23,2022-04-22,556631,733.5200518835637
2022-04-23,5,5358,78651,416,343,1,2349,2022-04-23,2022-04-22,265140,885.9470468431772
2022-04-23,5,5362,132963,548,606,0,3184,2022-04-23,2022-04-22,469611,678.0079682971651
2022-04-23,5,5366,54017,306,322,2,1564,2022-04-23,2022-04-22,194359,804.6964637603609
2022-04-23,5,5370,56230,474,374,0,1637,2022-04-23,2022-04-22,256458,638.3111464645283
2022-04-23,5,5374,81282,427,221,1,1637,2022-04-23,2022-04-22,271699,602.5049779351415
2022-04-23,5,5378,72337,243,301,0,1634,2022-04-23,2022-04-22,283275,576.8246403671344
2022-04-23,5,5382,137884,761,839,5,3087,2022-04-23,2022-04-22,600375,514.1786383510306
2022-04-23,5,5512,29417,170,143,0,678,2022-04-23,2022-04-22,117388,577.5718131325178
2022-04-23,5,5513,66918,558,314,0,1436,2022-04-23,2022-04-22,259105,554.215472491847
2022-04-23,5,5515,83542,197,1452,0,4673,2022-04-23,2022-04-22,316403,1476.9139357085742
2022-04-23,5,5554,125966,431,1331,3,5127,2022-04-23,2022-04-22,371898,1378.6038107222948
2022-04-23,5,5558,60812,130,402,0,3626,2022-04-23,2022-04-22,220712,1642.8649099278696
2022-04-23,5,5562,151130,1272,820,1,3871,2022-04-23,2022-04-22,613599,630.8680424837719
2022-04-23,5,5566,132839,460,847,0,4594,2022-04-23,2022-04-22,448197,1024.9957050136436
2022-04-23,5,5570,79773,339,670,0,3158,2022-04-23,2022-04-22,277417,1138.358500019826
2022-04-23,5,5711,90907,542,595,3,3590,2022-04-23,2022-04-22,333509,1076.4327199565828
2022-04-23,5,5754,116400,452,553,0,3393,2022-04-23,2022-04-22,364818,930.0527934476917
2022-04-23,5,5758,79954,311,1547,0,2354,2022-04-23,2022-04-22,250547,939.5442771216578
2022-04-23,5,5762,34961,198,189,1,1358,2022-04-23,2022-04-22,139729,971.8812844863986
2022-04-23,5,5766,92874,568,0,0,1840,2022-04-23,2022-04-21,346970,530.3052137072369
2022-04-23,5,5770,105029,449,462,0,4474,2022-04-23,2022-04-22,310270,1441.9698971863218
2022-04-23,5,5774,72370,216,657,0,3530,2022-04-23,2022-04-22,308335,1144.8586764395868
2022-04-23,5,5911,86234,416,488,1,2876,2022-04-23,2022-04-22,364454,789.1256509737854
2022-04-23,5,5913,156583,530,771,1,4386,2022-04-23,2022-04-22,587696,746.3042117012877
2022-04-23,5,5914,53286,464,329,0,1374,2022-04-23,2022-04-22,188687,728.1900713880659
2022-04-23,5,5915,51851,280,245,-1,1520,2022-04-23,2022-04-22,178967,849.3185894606268
2022-04-23,5,5916,43480,358,202,1,1216,2022-04-23,2022-04-22,156940,774.818401937046
2022-04-23,5,5954,77432,530,1045,4,2238,2022-04-23,2022-04-22,323130,692.6005013462075
2022-04-23,5,5958,69676,266,546,0,2750,2022-04-23,2022-04-22,259030,1061.6530903756322
2022-04-23,5,5962,117359,619,481,2,4030,2022-04-23,2022-04-22,408662,986.14502938859
2022-04-23,5,5966,33810,201,142,0,1029,2022-04-23,2022-04-22,133362,771.5841094164755
2022-04-23,5,5970,77435,266,859,3,2630,2022-04-23,2022-04-22,275491,954.6591358701372
2022-04-23,5,5974,75902,350,412,0,2457,2022-04-23,2022-04-22,301016,816.235681824222
2022-04-23,5,5978,94422,650,655,5,3532,2022-04-23,2022-04-22,393618,897.3166877531007
2022-04-23,6,6411,39722,201,195,0,1535,2022-04-23,2022-04-22,159174,964.3534748137259
2022-04-23,6,6412,216657,1201,2300,2,5854,2022-04-23,2022-04-22,764104,766.1260770785129
2022-04-23,6,6413,41175,264,153,0,763,2022-04-23,2022-04-22,130892,582.9233261009076
2022-04-23,6,6414,79154,392,357,1,2692,2022-04-23,2022-04-22,278609,966.228657365699
2022-04-23,6,6431,75469,449,504,1,3236,2022-04-23,2022-04-22,271015,1194.0298507462687
2022-04-23,6,6432,73107,421,375,0,2983,2022-04-23,2022-04-22,297701,1002.0120859520122
2022-04-23,6,6433,72184,373,306,0,2124,2022-04-23,2022-04-22,275807,770.1037319574921
2022-04-23,6,6434,56537,265,349,1,2943,2022-04-23,2022-04-22,237281,1240.3015833547565
2022-04-23,6,6435,119599,841,510,0,4275,2022-04-23,2022-04-22,421689,1013.7802978024089
2022-04-23,6,6436,60469,298,371,1,2179,2022-04-23,2022-04-22,239264,910.7095091614283
2022-04-23,6,6437,27400,221,151,0,1160,2022-04-23,2022-04-22,96754,1198.916840647415
2022-04-23,6,6438,99275,750,317,0,3299,2022-04-23,2022-04-22,356542,925.276685495678
2022-04-23,6,6439,47125,215,231,0,1862,2022-04-23,2022-04-22,187433,993.4216493360294
2022-04-23,6,6440,78574,632,591,0,2978,2022-04-23,2022-04-22,310353,959.5525095616927
2022-04-23,6,6531,75036,408,519,1,3263,2022-04-23,2022-04-22,271667,1201.1028207327354
